location,price,total_area,net_area,price_per_sqm,rooms_count,halls_count,bathrooms_count,balconies_count,floor_raw,floor_num,total_floors,building_age_clean,age_category,legal_status,house_condition,kitchen_type,heating_type,has_elevator,has_parking,in_complex,is_furnished,facade_directions,advertiser_type,near_mosque,near_hospital,near_park,near_university,near_school,near_market,near_transport
وادي الذهب,63000,130,130,484.62,2,1,2,1,3,3,4,7.5,Semi-New,حكم محكمة,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شرق",وسيط,0,0,0,0,0,0,0
بابا عمرو,65000,130,130,500.0,4,1,2,1,أرضي,0,5,7.5,Semi-New,كاتب عدل/وكالة,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شمال",وسيط,1,0,0,0,0,0,0
المحطة,65000,90,90,722.22,2,1,2,1,أرضي,0,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"شرق,غرب",وسيط,0,0,1,0,1,0,0
عكرمة الجديدة,65000,128,128,507.81,3,1,2,1,2,2,4,4.0,New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق",وسيط,0,0,0,0,0,0,0
الحميدية,65000,143,140,454.55,3,1,1,0,أرضي,0,3,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,لا يوجد,بدون مصعد,بدون موقف,داخل مجمع,غير مفروش,"جنوب,شرق,غرب",المالك,1,0,0,0,0,0,0
ضاحية الوليد,70000,155,155,451.61,3,1,2,1,2,2,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"شرق,شمال,غرب",وسيط,0,0,0,0,0,0,0
كرم الشامي,72000,140,140,514.29,3,1,2,1,6,6,8,12.5,Medium,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,يوجد مصعد,يوجد موقف,داخل مجمع,مفروش,"شرق,غرب",وسيط,0,0,0,0,0,0,0
عكرمة الجديدة,75000,168,168,446.43,3,1,1,2,2,2,4,35.0,Old,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,بدون موقف,داخل مجمع,غير مفروش,"شرق,غرب",المالك,0,1,0,0,0,1,0
شارع النزهة الرئيسي,75000,145,145,517.24,3,1,2,1,2,2,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"شمال,غرب",وسيط,0,0,0,1,0,0,0
كرم الشامي,75000,145,145,517.24,3,1,2,1,1,1,3,10.0,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق,غرب",وسيط,0,0,0,0,0,0,0
الخضر,80000,125,115,640.0,3,1,2,1,1,1,3,25.0,Old,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,بدون موقف,داخل مجمع,مفروش,"جنوب,غرب",وسيط,0,0,0,0,0,1,0
المحطة,80000,130,100,615.38,2,1,1,2,3,3,3,12.5,Medium,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,لا يوجد,بدون مصعد,بدون موقف,خارج مجمع,غير مفروش,جنوب,وسيط,0,1,0,0,0,0,0
القصور,80000,150,150,533.33,4,1,2,2,3,3,5,10.0,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"شرق,غرب",وسيط,0,0,0,0,1,0,0
المحطة,80000,130,130,615.38,3,1,2,1,أرضي,0,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شمال",وسيط,0,1,0,0,0,0,0
عكرمة,85000,250,250,340.0,4,1,2,0,أرضي,0,3,12.5,Medium,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,لا يوجد,بدون مصعد,بدون موقف,داخل مجمع,مفروش,"جنوب,غرب",وسيط,0,0,0,0,0,0,0
باب الدريب,85000,225,225,377.78,4,2,2,3,2,2,4,7.5,Semi-New,كاتب عدل/وكالة,مسكون من صاحبه,مغلق,تدفئة ديزل,يوجد مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شرق",وسيط,0,0,0,0,0,0,0
الحميدية,85000,240,240,354.17,6,1,2,1,1,1,4,12.5,Medium,طابو أخضر/نظامي,فارغ,مغلق,3 مدفقة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق",وسيط,1,0,0,0,0,1,0
الوعر,85000,176,176,482.95,5,1,2,2,3,3,3,25.0,Old,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق",وسيط,0,0,0,0,0,0,0
عكرمة,90000,135,126,666.67,2,1,2,1,1,1,3,3.0,New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,خارج مجمع,مفروش,شرق,المالك,0,0,1,0,0,0,0
عكرمة,90000,150,150,600.0,4,1,2,1,2,2,2,10.0,Semi-New,حكم محكمة,فارغ,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق",وسيط,1,1,0,0,0,0,1
كرم الشامي,95000,1000,165,95.0,3,1,2,0,أرضي,0,10,12.5,Medium,طابو أخضر/نظامي,فارغ,مغلق,لا يوجد,يوجد مصعد,بدون موقف,خارج مجمع,غير مفروش,"جنوب,شرق,شمال",المالك,0,0,0,0,0,0,1
